description_clean,size,color,season,year,brand,material,category,subcategory,features
do you carry style pants for fall 2025,,,fall,2025,style,,bottoms,pants,
looking for green boots size l,l,green,,,,,footwear,boots,
searching for the modern blazer finished in dark grey xxl size,xxl,grey,,,modern,,outerwear,blazer,
need blue sundress that is breathable and flexible for fall 2024 size m,m,blue,fall,2024,,,tops,blouse,breathable
looking for beige gown size l,l,beige,,,,,dresses,gown,
do you have any footwear options suitable for fall 2025,,,fall,2025,,,footwear,,
looking for naavy santals by lite size l please,l,navy,,,elite,,footwear,sandals,
need essetnials burundy boluse sz xs asap,xs,burgundy,,,essential,,tops,blouse,
white polo from alpine size m,m,white,,,alpine,,tops,polo,
after black option in xs preferably coat,xs,black,,,,,outerwear,coat,
good afternoon do you happen to have the olive gown from urban in size xs thanks in advance,xs,olive,,,urban,,dresses,gown,
do you stock nordics sleeveless layer in that maroon i need xs,xs,maroon,,,nordic,,outerwear,blazer,
do you stock elites pumps in that olive tone i need xl,xl,olive,,,elite,,,,
looking for brown outerwear for fall 2025,,brown,fall,2025,,,outerwear,,
nordic vest in green size m,m,green,,,nordic,,outerwear,vest,
looking for charcoal parka size xl,xl,charcoal,,,,,outerwear,parka,
comfort coat in beige size xxl,xxl,beige,,,comfort,,outerwear,coat,
do you stock urbans vest in that deep navy i need xl,xl,navy,,,urban,,outerwear,vest,
searching for the premium ankle boots finished in ecru xxl size,xxl,ecru,,,premium,,footwear,boots,
hello im checking if you carry the charcoal turtleneck from comfort in size xl appreciate your help,xl,charcoal,,,comfort,,tops,turtleneck,
looking for style heels white s,s,white,,,style,,footwear,heels,
looking for biege parrka by elife size s please,s,beige,,,,,outerwear,parka,
tan parka from premium size xxl,xxl,tan,,,premium,,outerwear,parka,
do you stock classics lightweight dress in that navy blue i need s,s,navy,,,classic,,dresses,dress,
need size xxl vest this season any brand works,xxl,,,,,,outerwear,vest,
need black sneakers that are wellventilated and sweatwicking for fall 2024 size xl,xl,black,fall,2024,,,footwear,sneakers,
hi there could you help me find the olive sandals from nordic in size m thanks in advance,m,olive,,,nordic,,footwear,sandals,
